Date,Open,High,Low,Close,Volume
05/07/2016,9.17,9.83,9.09,9.16,60793500
06/07/2016,9.45,9.72,8.68,8.69,66100900
07/07/2016,8.42,9.07,8.15,8.32,58109300
08/07/2016,7.8,7.91,7.21,7.32,54631800
11/07/2016,7.11,7.36,6.96,7.33,38011200
12/07/2016,6.98,7.3,6.93,7,43294400
13/07/2016,6.84,7.1,6.72,6.78,51035000
14/07/2016,6.61,6.82,6.52,6.74,50976300
15/07/2016,6.64,7.11,6.57,6.69,64992200
18/07/2016,6.74,6.81,6.33,6.44,47267900
19/07/2016,6.44,6.64,6.26,6.41,42921800
20/07/2016,6.18,6.3,5.96,6.08,42131700
21/07/2016,6.12,6.57,6.02,6.41,56872100
22/07/2016,6.32,6.42,5.97,6.1,43331000
